FullID	Site	Succession	SampleVolume_mL	Altitude
LM1b08Lr	LM	Late	7.5	1443
LM1N01Mr	LM	Moss	1.0783	1443
LM1N02Mr	LM	Moss	1.0208	1443
LM2a09Er	LM	Early	7.5	1443
LM2a10Er	LM	Early	5	1443
LM2a11Lr	LM	Late	4	1443
LM2a12Er	LM	Early	7.5	1443
LM2a13Lr	LM	Late	4	1443
LM2a14Lr	LM	Late	7	1443
LM2a15Lr	LM	Late	7.5	1443
LM2b01Lr	LM	Late	5	1443
LM2b02Er	LM	Early	7	1443
LM2b03Lr	LM	Late	5	1443
LM2b04Er	LM	Early	9	1443
LM2b05Lr	LM	Late	10	1443
LM2b06Er	LM	Early	5	1443
LM2b07Er	LM	Early	5	1443
LM2b08Lr	LM	Late	2	1443
LM2b16Er	LM	Early	5	1443
LM2N01Mr	LM	Moss	0.848100000000001	1443
LM2N02Mr	LM	Moss	0.831300000000001	1443
LM3a08Lr	LM	Late	7.5	1443
LM3a09Er	LM	Early	5	1443
LM3a10Lr	LM	Late	9.5	1443
LM3a11Er	LM	Early	7.5	1443
LM3a12Er	LM	Early	7.5	1443
LM3a13Er	LM	Early	7.5	1443
LM3b14Lr	LM	Late	7.5	1443
LM3b15Lr	LM	Late	5	1443
LM3b16Lr	LM	Late	6	1443
LM3c01Er	LM	Early	5	1443
LM3c02Lr	LM	Late	5	1443
LM3c03Er	LM	Early	17.5	1443
LM3c04Lr	LM	Late	5	1443
LM3c05Er	LM	Early	15	1443
LM3c06Lr	LM	Late	7.5	1443
LM3c07Er	LM	Early	7.5	1443
LM3N01Mr	LM	Moss	0.906900000000001	1443
LM3N02Mr	LM	Moss	0.999900000000001	1443
LM4a06Er	LM	Early	2.5	1443
LM4a07Lr	LM	Late	3.5	1443
LM4a08Lr	LM	Late	3.5	1443
LM4a09Er	LM	Early	4.5	1443
LM4a10Er	LM	Early	2.5	1443
LM4a11Lr	LM	Late	2.5	1443
LM4b01Lr	LM	Late	1.5	1443
LM4b02Lr	LM	Late	2.5	1443
LM4b03Er	LM	Early	4.5	1443
LM4b04Er	LM	Early	3.5	1443
LM4b18Lr	LM	Late	1.5	1443
LM4c05Lr	LM	Late	2.5	1443
LM4c12Er	LM	Early	5	1443
LM4c13Er	LM	Early	4	1443
LM4c14Lr	LM	Late	4	1443
LM4c15Lr	LM	Late	3	1443
LM4c16Lr	LM	Late	2.5	1443
LM4c17Lr	LM	Late	1	1443
LM4N01Mr	LM	Moss	1.0568	1443
LM4N02Mr	LM	Moss	1.0146	1443
LT1a14Er	LT	Early	4.5	1239
LT1a15Er	LT	Early	3	1239
LT1a16Er	LT	Early	10	1239
LT1b01Lr	LT	Late	10	1239
LT1b02Er	LT	Early	9	1239
LT1b03Lr	LT	Late	5	1239
